city,latitude,longitude,day_offset,date,temp_day,temp_min,temp_max,weather_main,weather_description,pop,rain,humidity
Mont Saint Michel,48.6359541,-1.51146,0,2026-02-19 12:00:00,7.51,7.13,8.54,Rain,moderate rain,1.0,14.87,87
Mont Saint Michel,48.6359541,-1.51146,1,2026-02-20 12:00:00,11.21,6.73,11.73,Rain,light rain,0.2,0.55,78
Mont Saint Michel,48.6359541,-1.51146,2,2026-02-21 12:00:00,12.7,10.24,13.5,Rain,light rain,1.0,1.48,95
Mont Saint Michel,48.6359541,-1.51146,3,2026-02-22 12:00:00,11.74,8.85,11.74,Rain,light rain,1.0,2.77,90
Mont Saint Michel,48.6359541,-1.51146,4,2026-02-23 12:00:00,11.97,7.73,12.38,Clouds,overcast clouds,0.0,0.0,76
Mont Saint Michel,48.6359541,-1.51146,5,2026-02-24 12:00:00,12.33,5.02,13.57,Clear,clear sky,0.0,0.0,63
Mont Saint Michel,48.6359541,-1.51146,6,2026-02-25 12:00:00,13.37,6.23,14.92,Clear,clear sky,0.0,0.0,73
Saint-Malo,48.649518,-2.0260409,0,2026-02-19 12:00:00,8.45,7.38,9.39,Rain,moderate rain,1.0,11.75,80
Saint-Malo,48.649518,-2.0260409,1,2026-02-20 12:00:00,11.27,7.61,11.95,Rain,light rain,1.0,0.25,76
Saint-Malo,48.649518,-2.0260409,2,2026-02-21 12:00:00,12.75,10.44,13.39,Rain,light rain,1.0,1.06,92
Saint-Malo,48.649518,-2.0260409,3,2026-02-22 12:00:00,11.69,9.24,11.78,Rain,light rain,1.0,1.93,90
Saint-Malo,48.649518,-2.0260409,4,2026-02-23 12:00:00,11.7,8.6,11.92,Clouds,overcast clouds,0.0,0.0,75
Saint-Malo,48.649518,-2.0260409,5,2026-02-24 12:00:00,11.75,6.37,12.99,Clear,clear sky,0.0,0.0,64
Saint-Malo,48.649518,-2.0260409,6,2026-02-25 12:00:00,12.93,6.88,14.5,Clear,clear sky,0.0,0.0,76
Bayeux,49.2764624,-0.7024738,0,2026-02-19 12:00:00,7.6,5.36,7.6,Rain,light rain,1.0,1.05,93
Bayeux,49.2764624,-0.7024738,1,2026-02-20 12:00:00,9.92,4.69,11.59,Rain,light rain,1.0,0.32,81
Bayeux,49.2764624,-0.7024738,2,2026-02-21 12:00:00,13.04,10.56,13.77,Rain,light rain,0.48,0.41,88
Bayeux,49.2764624,-0.7024738,3,2026-02-22 12:00:00,10.9,8.8,11.27,Rain,light rain,1.0,2.63,91
Bayeux,49.2764624,-0.7024738,4,2026-02-23 12:00:00,11.71,7.11,11.89,Rain,light rain,0.2,0.37,82
Bayeux,49.2764624,-0.7024738,5,2026-02-24 12:00:00,13.21,5.7,14.2,Clear,clear sky,0.0,0.0,63
Bayeux,49.2764624,-0.7024738,6,2026-02-25 12:00:00,14.47,5.99,15.63,Clear,clear sky,0.0,0.0,67
Le Havre,49.4938975,0.1079732,0,2026-02-19 12:00:00,8.62,6.61,8.93,Rain,light rain,1.0,3.65,94
Le Havre,49.4938975,0.1079732,1,2026-02-20 12:00:00,9.58,6.78,10.58,Rain,light rain,0.56,0.15,80
Le Havre,49.4938975,0.1079732,2,2026-02-21 12:00:00,11.07,9.9,11.49,Rain,moderate rain,1.0,2.26,92
Le Havre,49.4938975,0.1079732,3,2026-02-22 12:00:00,10.33,9.32,10.78,Rain,light rain,1.0,3.34,90
Le Havre,49.4938975,0.1079732,4,2026-02-23 12:00:00,10.05,8.88,10.26,Rain,light rain,0.64,1.21,87
Le Havre,49.4938975,0.1079732,5,2026-02-24 12:00:00,11.13,7.42,12.48,Clouds,scattered clouds,0.0,0.0,74
Le Havre,49.4938975,0.1079732,6,2026-02-25 12:00:00,11.88,8.17,13.06,Clear,clear sky,0.0,0.0,72
Rouen,49.4404591,1.0939658,0,2026-02-19 12:00:00,9.14,6.03,10.41,Rain,moderate rain,1.0,4.15,94
Rouen,49.4404591,1.0939658,1,2026-02-20 12:00:00,10.3,4.57,11.13,Clouds,overcast clouds,0.0,0.0,75
Rouen,49.4404591,1.0939658,2,2026-02-21 12:00:00,13.32,9.96,14.66,Rain,light rain,1.0,1.0,86
Rouen,49.4404591,1.0939658,3,2026-02-22 12:00:00,12.72,9.56,12.72,Rain,light rain,1.0,1.64,76
Rouen,49.4404591,1.0939658,4,2026-02-23 12:00:00,11.52,7.63,12.11,Rain,light rain,0.63,0.89,80
Rouen,49.4404591,1.0939658,5,2026-02-24 12:00:00,13.31,5.67,14.63,Clouds,broken clouds,0.0,0.0,67
Rouen,49.4404591,1.0939658,6,2026-02-25 12:00:00,15.39,6.33,16.51,Clouds,scattered clouds,0.0,0.0,58
Paris,48.8588897,2.320041,0,2026-02-19 12:00:00,9.25,7.29,10.29,Rain,light rain,1.0,3.87,89
Paris,48.8588897,2.320041,1,2026-02-20 12:00:00,7.8,6.0,10.48,Rain,light rain,0.2,0.31,78
Paris,48.8588897,2.320041,2,2026-02-21 12:00:00,12.52,9.09,13.45,Rain,light rain,1.0,0.96,81
Paris,48.8588897,2.320041,3,2026-02-22 12:00:00,13.48,10.08,13.48,Rain,light rain,1.0,2.26,66
Paris,48.8588897,2.320041,4,2026-02-23 12:00:00,10.72,9.32,13.07,Rain,light rain,1.0,0.62,70
Paris,48.8588897,2.320041,5,2026-02-24 12:00:00,12.96,7.23,15.0,Clouds,scattered clouds,0.0,0.0,61
Paris,48.8588897,2.320041,6,2026-02-25 12:00:00,15.53,8.04,17.37,Clouds,broken clouds,0.0,0.0,46
Amiens,49.8941708,2.2956951,0,2026-02-19 12:00:00,8.25,3.81,8.99,Rain,moderate rain,1.0,9.02,91
Amiens,49.8941708,2.2956951,1,2026-02-20 12:00:00,8.68,3.96,10.27,Clouds,overcast clouds,0.0,0.0,80
Amiens,49.8941708,2.2956951,2,2026-02-21 12:00:00,14.2,10.09,14.49,Rain,moderate rain,1.0,2.25,74
Amiens,49.8941708,2.2956951,3,2026-02-22 12:00:00,11.58,9.53,12.91,Rain,light rain,1.0,2.52,78
Amiens,49.8941708,2.2956951,4,2026-02-23 12:00:00,11.3,8.16,11.57,Rain,light rain,0.2,0.43,74
Amiens,49.8941708,2.2956951,5,2026-02-24 12:00:00,13.02,5.8,13.96,Clouds,scattered clouds,0.0,0.0,58
Amiens,49.8941708,2.2956951,6,2026-02-25 12:00:00,14.48,6.18,15.6,Clouds,broken clouds,0.0,0.0,59
Lille,50.6365654,3.0635282,0,2026-02-19 12:00:00,6.08,2.62,6.58,Rain,moderate rain,1.0,9.91,89
Lille,50.6365654,3.0635282,1,2026-02-20 12:00:00,8.68,3.22,10.28,Clouds,overcast clouds,0.0,0.0,73
Lille,50.6365654,3.0635282,2,2026-02-21 12:00:00,13.01,10.29,13.08,Rain,light rain,1.0,1.8,72
Lille,50.6365654,3.0635282,3,2026-02-22 12:00:00,10.97,9.44,12.18,Rain,light rain,1.0,3.45,82
Lille,50.6365654,3.0635282,4,2026-02-23 12:00:00,11.21,8.17,11.21,Rain,light rain,0.28,0.78,66
Lille,50.6365654,3.0635282,5,2026-02-24 12:00:00,12.86,6.53,14.04,Clouds,broken clouds,0.0,0.0,58
Lille,50.6365654,3.0635282,6,2026-02-25 12:00:00,13.61,6.55,15.63,Clouds,broken clouds,0.0,0.0,56
Strasbourg,48.584614,7.7507127,0,2026-02-19 11:00:00,5.25,1.83,6.28,Rain,moderate rain,1.0,5.23,85
Strasbourg,48.584614,7.7507127,1,2026-02-20 11:00:00,4.85,2.71,5.68,Rain,light rain,1.0,0.62,92
Strasbourg,48.584614,7.7507127,2,2026-02-21 11:00:00,8.76,5.23,10.2,Clouds,overcast clouds,0.0,0.0,79
Strasbourg,48.584614,7.7507127,3,2026-02-22 11:00:00,12.92,7.91,12.92,Rain,light rain,0.95,1.35,76
Strasbourg,48.584614,7.7507127,4,2026-02-23 11:00:00,11.58,9.28,11.58,Rain,light rain,1.0,5.14,64
Strasbourg,48.584614,7.7507127,5,2026-02-24 11:00:00,11.61,7.29,12.09,Rain,light rain,0.83,0.39,57
Strasbourg,48.584614,7.7507127,6,2026-02-25 11:00:00,12.22,4.61,13.81,Clear,clear sky,0.0,0.0,56
Chateau du Haut Koenigsbourg,48.249382,7.3439412,0,2026-02-19 11:00:00,2.29,-0.93,3.31,Snow,rain and snow,1.0,2.46,96
Chateau du Haut Koenigsbourg,48.249382,7.3439412,1,2026-02-20 11:00:00,2.58,0.75,2.67,Rain,light rain,0.89,0.29,98
Chateau du Haut Koenigsbourg,48.249382,7.3439412,2,2026-02-21 11:00:00,5.17,1.17,6.89,Clouds,overcast clouds,0.0,0.0,90
Chateau du Haut Koenigsbourg,48.249382,7.3439412,3,2026-02-22 11:00:00,9.85,5.25,9.85,Rain,light rain,0.94,1.12,83
Chateau du Haut Koenigsbourg,48.249382,7.3439412,4,2026-02-23 11:00:00,8.64,5.64,8.64,Rain,light rain,1.0,3.7,71
Chateau du Haut Koenigsbourg,48.249382,7.3439412,5,2026-02-24 11:00:00,9.16,4.11,9.16,Rain,light rain,0.2,0.18,61
Chateau du Haut Koenigsbourg,48.249382,7.3439412,6,2026-02-25 11:00:00,11.39,2.2,12.02,Clear,clear sky,0.0,0.0,56
Colmar,48.0777517,7.3579641,0,2026-02-19 11:00:00,4.71,1.8,5.7,Rain,moderate rain,1.0,7.05,95
Colmar,48.0777517,7.3579641,1,2026-02-20 11:00:00,5.73,3.52,5.73,Clouds,overcast clouds,0.8,0.0,95
Colmar,48.0777517,7.3579641,2,2026-02-21 11:00:00,7.5,3.62,9.29,Clouds,overcast clouds,0.0,0.0,89
Colmar,48.0777517,7.3579641,3,2026-02-22 11:00:00,12.72,7.2,12.72,Rain,light rain,0.63,0.79,81
Colmar,48.0777517,7.3579641,4,2026-02-23 11:00:00,12.01,8.01,12.01,Rain,light rain,1.0,2.19,65
Colmar,48.0777517,7.3579641,5,2026-02-24 11:00:00,11.71,6.83,11.71,Clouds,scattered clouds,0.0,0.0,61
Colmar,48.0777517,7.3579641,6,2026-02-25 11:00:00,13.6,4.97,14.36,Clear,clear sky,0.0,0.0,57
Eguisheim,48.0447968,7.3079618,0,2026-02-19 11:00:00,4.78,1.62,5.49,Rain,moderate rain,1.0,8.66,96
Eguisheim,48.0447968,7.3079618,1,2026-02-20 11:00:00,5.4,3.17,5.47,Clouds,overcast clouds,0.85,0.0,96
Eguisheim,48.0447968,7.3079618,2,2026-02-21 11:00:00,7.02,3.35,8.72,Clouds,overcast clouds,0.0,0.0,90
Eguisheim,48.0447968,7.3079618,3,2026-02-22 11:00:00,12.22,6.8,12.22,Rain,light rain,0.59,0.75,82
Eguisheim,48.0447968,7.3079618,4,2026-02-23 11:00:00,11.63,7.53,11.63,Rain,light rain,1.0,1.93,66
Eguisheim,48.0447968,7.3079618,5,2026-02-24 11:00:00,11.41,6.56,11.45,Clouds,scattered clouds,0.0,0.0,61
Eguisheim,48.0447968,7.3079618,6,2026-02-25 11:00:00,13.45,4.84,14.16,Clear,clear sky,0.0,0.0,57
Besancon,47.2380222,6.0243622,0,2026-02-19 11:00:00,6.86,5.66,8.54,Rain,moderate rain,1.0,13.07,91
Besancon,47.2380222,6.0243622,1,2026-02-20 11:00:00,4.67,4.67,6.2,Rain,light rain,1.0,4.9,96
Besancon,47.2380222,6.0243622,2,2026-02-21 11:00:00,8.34,4.22,9.46,Clouds,overcast clouds,0.0,0.0,84
Besancon,47.2380222,6.0243622,3,2026-02-22 11:00:00,11.81,8.27,12.54,Rain,light rain,0.99,0.66,83
Besancon,47.2380222,6.0243622,4,2026-02-23 11:00:00,10.77,6.33,10.77,Rain,light rain,1.0,5.62,78
Besancon,47.2380222,6.0243622,5,2026-02-24 11:00:00,11.91,5.41,12.54,Clear,clear sky,0.0,0.0,66
Besancon,47.2380222,6.0243622,6,2026-02-25 11:00:00,15.15,5.3,16.15,Clear,clear sky,0.0,0.0,56
Dijon,47.3215806,5.0414701,0,2026-02-19 11:00:00,6.67,6.05,8.02,Rain,moderate rain,1.0,15.18,90
Dijon,47.3215806,5.0414701,1,2026-02-20 11:00:00,6.75,4.32,8.33,Rain,light rain,0.79,0.36,76
Dijon,47.3215806,5.0414701,2,2026-02-21 11:00:00,9.73,4.59,11.06,Clouds,overcast clouds,0.0,0.0,80
Dijon,47.3215806,5.0414701,3,2026-02-22 11:00:00,13.58,8.28,14.27,Rain,light rain,0.2,0.14,78
Dijon,47.3215806,5.0414701,4,2026-02-23 11:00:00,11.48,7.17,11.49,Rain,light rain,1.0,1.44,67
Dijon,47.3215806,5.0414701,5,2026-02-24 11:00:00,11.49,5.03,12.18,Clouds,few clouds,0.0,0.0,70
Dijon,47.3215806,5.0414701,6,2026-02-25 11:00:00,13.54,4.22,14.49,Clouds,few clouds,0.0,0.0,66
Annecy,45.8992348,6.1288847,0,2026-02-19 11:00:00,5.02,3.41,5.32,Rain,heavy intensity rain,1.0,42.59,97
Annecy,45.8992348,6.1288847,1,2026-02-20 11:00:00,4.3,2.94,5.18,Snow,rain and snow,1.0,4.75,99
Annecy,45.8992348,6.1288847,2,2026-02-21 11:00:00,7.37,-0.6,8.83,Clouds,broken clouds,0.0,0.0,82
Annecy,45.8992348,6.1288847,3,2026-02-22 11:00:00,10.77,1.53,10.77,Clouds,overcast clouds,0.0,0.0,79
Annecy,45.8992348,6.1288847,4,2026-02-23 11:00:00,10.2,3.21,10.34,Rain,light rain,0.95,0.71,83
Annecy,45.8992348,6.1288847,5,2026-02-24 11:00:00,10.27,2.02,10.89,Clouds,few clouds,0.0,0.0,77
Annecy,45.8992348,6.1288847,6,2026-02-25 11:00:00,13.34,3.52,13.64,Clear,clear sky,0.0,0.0,62
Grenoble,45.1875602,5.7357819,0,2026-02-19 11:00:00,5.51,4.07,7.68,Snow,rain and snow,1.0,30.9,98
Grenoble,45.1875602,5.7357819,1,2026-02-20 11:00:00,4.77,3.42,5.23,Snow,rain and snow,1.0,3.85,100
Grenoble,45.1875602,5.7357819,2,2026-02-21 11:00:00,6.6,-2.08,6.85,Clouds,scattered clouds,0.0,0.0,98
Grenoble,45.1875602,5.7357819,3,2026-02-22 11:00:00,8.19,0.33,8.19,Rain,light rain,0.2,0.13,96
Grenoble,45.1875602,5.7357819,4,2026-02-23 11:00:00,10.42,2.69,10.42,Rain,light rain,0.2,0.11,95
Grenoble,45.1875602,5.7357819,5,2026-02-24 11:00:00,10.03,1.9,10.16,Clouds,scattered clouds,0.0,0.0,86
Grenoble,45.1875602,5.7357819,6,2026-02-25 11:00:00,12.77,4.64,12.77,Clouds,scattered clouds,0.0,0.0,85
Lyon,45.7578137,4.8320114,0,2026-02-19 11:00:00,9.2,6.97,10.08,Rain,moderate rain,1.0,11.58,69
Lyon,45.7578137,4.8320114,1,2026-02-20 11:00:00,7.97,5.74,9.0,Rain,light rain,1.0,1.14,70
Lyon,45.7578137,4.8320114,2,2026-02-21 11:00:00,10.8,5.47,13.31,Clouds,broken clouds,0.0,0.0,59
Lyon,45.7578137,4.8320114,3,2026-02-22 11:00:00,13.12,6.32,14.44,Clouds,overcast clouds,0.0,0.0,60
Lyon,45.7578137,4.8320114,4,2026-02-23 11:00:00,13.79,8.29,14.4,Rain,light rain,0.2,0.13,58
Lyon,45.7578137,4.8320114,5,2026-02-24 11:00:00,13.05,6.34,14.38,Clear,clear sky,0.0,0.0,56
Lyon,45.7578137,4.8320114,6,2026-02-25 11:00:00,16.53,7.17,16.53,Clouds,broken clouds,0.0,0.0,52
Gorges du Verdon,43.7496562,6.3285616,0,2026-02-19 11:00:00,1.37,1.37,4.85,Snow,rain and snow,1.0,10.67,97
Gorges du Verdon,43.7496562,6.3285616,1,2026-02-20 11:00:00,7.48,-0.17,8.99,Clouds,few clouds,0.0,0.0,58
Gorges du Verdon,43.7496562,6.3285616,2,2026-02-21 11:00:00,11.41,1.67,11.77,Clouds,scattered clouds,0.0,0.0,41
Gorges du Verdon,43.7496562,6.3285616,3,2026-02-22 11:00:00,11.99,4.13,11.99,Clouds,overcast clouds,0.0,0.0,46
